intent 
{"input":"purhcase","label":"chatbot_confused"}
{"input":"quit","label":"action.quit"}
{"input":"No","label":"disagreement"}
{"input":"no","label":"disagreement"}
{"input":"leave","label":"action.quit"}
{"input":"Refund","label":"user.refund"}
{"input":"yes","label":"agreement"}
{"input":"Wrong items","label":"chatbot_confused"}
{"input":"a","label":"chatbot_confused"}
{"input":"provide a new reason","label":"chatbot_confused"}
{"input":"Refund","label":"user.refund"}
{"input":"Ask information for product selling","label":"item.list"}
{"input":"Also can i track the refund process for the last items ","label":"track.refund"}
{"input":"quit","label":"action.quit"}
{"input":"No","label":"disagreement"}
{"input":"Ask information for product selling","label":"item.list"}
{"input":"Yes","label":"agreement"}
{"input":"quit","label":"action.quit"}
{"input":"item 2","label":"item_list_2"}
{"input":"Can i add more items into cart?","label":"item.list"}
{"input":"Specific information","label":"chatbot_confused"}
{"input":"leave","label":"action.quit"}
{"input":"I just wanna ask the specific info of ROG","label":"item_list_3"}
{"input":"item 3","label":"item_list_3"}
{"input":"Which phone have the best screen? and for gaming ","label":"item.best_screen_size"}
{"input":"Which phone have the best camera","label":"item.best_camera"}
{"input":"Track Refund process","label":"item.amount"}
{"input":"leave","label":"action.quit"}
{"input":"jxcjkasbnc","label":"item.amount"}
{"input":"quit","label":"action.quit"}
{"input":"tracking refund","label":"item.amount"}
{"input":"quit","label":"action.quit"}
{"input":"tracking for refund ticket","label":"track.refund"}
{"input":"Yes","label":"agreement"}
{"input":"I mean no thanks","label":"gratitude"}
{"input":"track refund","label":"track.refund"}
{"input":"What products do you sell?","label":"item.list"}
{"input":"Which devices have the best screen?","label":"item.best_resolution"}
{"input":"How about Samsung S22?","label":"item_list_2"}
{"input":"Do you sell iphone 15?","label":"remove.item_1"}
{"input":"What colours do you have for Iphone 14 pro?","label":"item_list_1"}
{"input":"Where is the colour?","label":"track.purchase"}
{"input":"hI","label":"greetings.hello"}
{"input":"HELLO","label":"greetings.hello"}
{"input":"Add iphone 14 pro into my cart","label":"add.item_1"}
{"input":"yup","label":"agreement"}
{"input":"Add samsung s22 as well","label":"add.item_2"}
{"input":"ya","label":"chatbot_confused"}
{"input":"remove iphone 14","label":"remove.item_1"}
{"input":"remove iphone 14","label":"remove.item_1"}
{"input":"remove samsung","label":"remove.item_2"}
{"input":"add phone","label":"add.item_1"}
{"input":"checkout please","label":"customer.checkout"}
{"input":"What types of SIM do you have?","label":"chatbot_confused"}
{"input":"I would like to track my parcel","label":"track.purchase"}
{"input":"Hi david","label":"greetings.hello"}
{"input":"I would like to request a refund please","label":"user.refund"}
{"input":"Yes","label":"agreement"}
{"input":"Because It's too ugly","label":"chatbot_confused"}
{"input":"Ok, it's actually I am out of budget","label":"chatbot_confused"}
{"input":"Because I have been waiting for ages","label":"chatbot_confused"}
{"input":"Ya ","label":"chatbot_confused"}
{"input":"I would like to refund please","label":"chatbot_confused"}
{"input":"call human agent","label":"operator_request"}
{"input":"Continue my refund process","label":"track.refund"}
{"input":"Ok","label":"tracking_refund"}
{"input":"May I have a refund?","label":"user.refund"}
{"input":"here is my purchase ID: 49547147710723315918","label":"user.tracking_number"}
{"input":"yes","label":"agreement"}
{"input":"The phone is not my type","label":"user.reason"}
{"input":"The size is bigger which is not my favourite size","label":"additional_reason"}
{"input":"The phone storage is lesser","label":"add.item_1"}
{"input":"I would like to have refund","label":"user.refund"}
{"input":"What products do you sell?","label":"item.list"}
{"input":"Is there any other products?","label":"additional_info"}
{"input":"Can you tell me more about Iphone 14 pro?","label":"agent.purpose"}
{"input":"Can you tell me abouit Iphone 14 pro","label":"item_list_1"}
{"input":"what is OLED display","label":"item.list"}
{"input":"which product has the largest storage","label":"item.large_storage"}
{"input":"What is thesize of Iphone 14","label":"add.item_1"}
{"input":"What is the size of Iphone 14","label":"additional_info"}
{"input":"what products do you sell?","label":"item.list"}
{"input":"I would like to make a purchase","label":"track.purchase"}
{"input":"May I know what products do you sell?","label":"item.list"}
{"input":"What is the details of Iphone 14","label":"add.item_1"}
{"input":"10?","label":"item.amount"}
